store,app_version,country,start_date,review,rate
Android,Android_5.2,Spain,2022-10-14 19:34:37,"This app is a joke, it dosn't even function properely.",1
Web,Web_5.3,Spain,2022-10-14 08:36:08,"This app is compleetely usless, it dosent work at all.",1
Android,Android_5.2,Spain,2022-10-14 13:13:52,That's an oustanding mobile app.,4
iOS,iOS_2.1,Netherlands,2022-10-14 07:44:27,"This appication has some valu, but it could use some improvments.",3
iOS,iOS_2.1,Czech Republic,2022-10-14 07:57:13,That's an exceptional mobile app.,3
Android,Android_5.2,Germany,2022-10-14 18:53:32,"This app is a totel failiure, it doesnt do anything right.",1
Web,Web_5.3,Germany,2022-10-14 20:51:44,I can't believe how terrible this app is.,1
iOS,iOS_2.1,Germany,2022-10-14 08:09:01,"I regret downloading this app, it's a complet disaster.",1
Android,Android_5.2,Italy,2022-10-14 13:36:46,I can't believe how terrible this app is.,1
iOS,iOS_2.1,Italy,2022-10-14 12:55:16,"What a terrible app, it's full of gliches and errros.",1
Android,Android_5.2,Poland,2022-10-14 08:27:41,This app is a disaster.,1
Web,Web_5.3,Poland,2022-10-14 08:29:59,"you thought you were participating in a CTF, here is the flag: {DataVizChallenge: 2023}",5
