store,app_version,country,start_date,review,rate
iOS,iOS_3.1,France,2023-01-02 07:53:00,"What a piece of junk, this app is completely broken.",1
Android,Android_7.3,France,2023-01-02 12:15:05,"I love this app, but the teleportation feature is what I'm really after.",4
iOS,iOS_3.1,France,2023-01-02 13:22:41,"This app is horrible, it's not even worth downloading.",2
iOS,iOS_3.1,France,2023-01-02 19:23:51,I am constntly frustated by the slowenes of this app.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app is movng at a glacial pace.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,The response times are dragging and causing significant delays.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,The response times are dragging and causing significant delays.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app is dragging its feet.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,Completing a simple task takes ages andd agges.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,Performing even the most basic tasks takes an exorbitant amount of time.,3
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app is draggging its feet.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,I am constntly frustated by the slowenes of this app.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,It felis like ages juts to do something simple.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,The time it takes to execute basic tasks is painfully slow.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,It seems like a lifetme to perform a simple taks.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,The response times are painfully slow.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,The time it takes to execute basic tasks is painfully slow.,3
iOS,iOS_3.1,France,2023-01-02 19:23:51,The response times are sluggish and unresponsive.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,It's taking too long for the systm to respond to my inpust.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,The response times are draggin and causing significnt delays.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,It takes an eturnity to comlete a basic actoin.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app is operating at a snail's pace.,3
iOS,iOS_3.1,France,2023-01-02 19:23:51,The response times are draggin and causing significnt delays.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,Waiting for a response takes too much time.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,Even the simplest tasks take a frustratingly long time to complete.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,This application is painfully slow.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,It takes an exorbitnat amount of time to complete even the simpliest of actions.,3
iOS,iOS_3.1,France,2023-01-02 19:23:51,It's taking an unnecessarily long time to perform simple tasks.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,Performing even the most basic tasks takes an exorbitant amount of time.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app takes forever to load.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app is operating at a snail's pace.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,"The system is painfully slow, even for simple actions.",3
iOS,iOS_3.1,France,2023-01-02 19:23:51,It takes an unbearble amount of time just to complete a simple taks.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app is moving at a glacial pace.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app is movng at a glacial pace.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,I am constantly frustrated by the slowness of this app.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,The time it takes to perform a basic aciton is neverending.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,I'm experiencing frustratingly slow response times.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app is opertaing at a snals pace.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app is dragging its feet.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,The respone times are unacceptbly slow.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,It feels like I'm waiting forever just to do something simple.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app is crawling.,3
iOS,iOS_3.1,France,2023-01-02 19:23:51,I find this app incredibl slow.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app is opertaing at a snals pace.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,I'm experiening significan delays in response times.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app is moving at a glacial pace.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,The respone times are unacceptbly slow.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app is dragging its feet.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app is dragging its feet.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,The respone times are unacceptbly slow.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,I am constntly frustated by the slowenes of this app.,5
iOS,iOS_3.1,France,2023-01-02 19:23:51,It seems like a lifetme to perform a simple taks.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,It takes an eturnity to comlete a basic actoin.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,The response times are painfully slow.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,It takes an unbearble amount of time just to complete a simple taks.,2
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app is draggging its feet.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,I am constntly frustated by the slowenes of this app.,3
iOS,iOS_3.1,France,2023-01-02 19:23:51,Performing even the most basic tasks takes an exorbitant amount of time.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,This app is movng at a glacial pace.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,Performing even the most basic tasks takes an exorbitant amount of time.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,This applcation is extremley slaggish.,1
iOS,iOS_3.1,France,2023-01-02 19:23:51,The response times are sluggish and unresponsive.,1
