store,app_version,country,start_date,review,rate
Android,Android_8.3,France,2022-12-25 12:31:47,That's an expectional mobile application.,4
Android,Android_8.3,France,2022-12-25 19:20:18,"What a terrible app, it's full of glitches and errors.",2
Android,Android_8.3,Romania,2022-12-25 19:14:44,That moble app is supurb.,5
Android,Android_8.3,Spain,2022-12-25 08:15:36,This app is a complete mess!,1
iOS,iOS_8.1,Spain,2022-12-25 07:52:05,"This app is a total failure, it doesn't do anything right.",1
iOS,iOS_8.1,Spain,2022-12-25 08:13:08,I can't believe how terrible this appp is.,1
Android,Android_8.3,Spain,2022-12-25 19:26:32,"This app is handy, bt it's missing some crucial featurs.",4
iOS,iOS_8.1,Spain,2022-12-25 11:26:03,It's irritatng that I can't use the ap right now.,1
iOS,iOS_8.1,Spain,2022-12-25 07:48:57,I can't seem to get the ap to work and I need it for work.,2
Web,Web_3.5,Spain,2022-12-25 19:13:30,The app is not working for me today.,3
iOS,iOS_8.1,Spain,2022-12-25 20:55:28,I can't seem to get the ap to work and I need it for work.,2
iOS,iOS_8.1,Spain,2022-12-25 19:54:54,I cannot establsh a connection with the ap right now and it's frustratng.,1
iOS,iOS_8.1,Spain,2022-12-25 12:07:27,I'm having difficulty accessing the app today.,2
Android,Android_8.3,Spain,2022-12-25 20:11:37,The app is not accessible to me today.,1
iOS,iOS_8.1,Spain,2022-12-25 17:39:10,I'm frustratd that I can't use the ap right now.,1
Android,Android_8.3,Spain,2022-12-25 07:48:55,The ap seems to be down for me today and I can't use it.,1
iOS,iOS_8.1,Spain,2022-12-25 07:51:53,The app is not accessible to me today.,1
iOS,iOS_8.1,Spain,2022-12-25 07:42:35,The app is not working for me today.,1
Web,Web_3.5,Spain,2022-12-25 11:24:16,I'm having trouble accessing the app today.,1
Android,Android_8.3,Spain,2022-12-25 17:10:39,The app seems to be down for me today.,1
iOS,iOS_8.1,Spain,2022-12-25 07:48:43,I'm having difficulty accessing the app today.,1
Android,Android_8.3,Spain,2022-12-25 08:25:34,I'm havng truble with the ap today and it's a problem.,3
iOS,iOS_8.1,Spain,2022-12-25 11:57:43,It's irritatng that I can't use the ap right now.,3
Android,Android_8.3,Spain,2022-12-25 11:27:39,It's frustratng that I can't acces the ap and I need it to work.,2
iOS,iOS_8.1,Spain,2022-12-25 12:20:31,I'm havng dificulty accesing the ap today and I need it to work.,2
Android,Android_8.3,Spain,2022-12-25 11:58:27,I'm having trouble accessing the app today.,2
Android,Android_8.3,Spain,2022-12-25 12:07:33,I can't seem to get the ap to work and I need it.,2
Android,Android_8.3,Spain,2022-12-25 18:26:06,I'm havng truble accesing the ap today.,2
Android,Android_8.3,Spain,2022-12-25 08:32:32,The ap seems to be down for me today and I can't use it.,1
Web,Web_3.5,Spain,2022-12-25 11:52:37,I cannot establsh a connection with the ap right now and it's frustratng.,1
Web,Web_3.5,Spain,2022-12-25 18:47:03,I cannot establish a connection with the app right now.,2
Android,Android_8.3,Spain,2022-12-25 11:41:02,I can't seem to conect to the app today for some reason.,1
iOS,iOS_8.1,Spain,2022-12-25 10:33:25,I'm havng trouble with the ap today and I don't know why.,1
Web,Web_3.5,Spain,2022-12-25 12:29:55,I'm having trouble accessing the app today.,1
iOS,iOS_8.1,Spain,2022-12-25 12:12:17,I can't seem to get the ap to work and it's inconvenint.,1
iOS,iOS_8.1,Spain,2022-12-25 12:04:46,I can't seem to get the ap to work and I need it for work.,1
Web,Web_3.5,Spain,2022-12-25 11:41:54,The ap is not functionng for me today and I'm not sure why.,1
iOS,iOS_8.1,Spain,2022-12-25 12:27:47,The app seems to be down for me today.,2
Android,Android_8.3,Spain,2022-12-25 07:51:01,The ap seems to be down for me today and I can't use it.,2
Android,Android_8.3,Spain,2022-12-25 10:44:35,I'm frustratd that I can't use the ap right now.,2
Web,Web_3.5,Spain,2022-12-25 18:49:16,It's frustratng that I can't acces the ap right now.,1
Android,Android_8.3,Spain,2022-12-25 17:52:05,The app is not workng for me today and I don't know why.,1
Android,Android_8.3,Spain,2022-12-25 19:05:31,I'm havng dificulty conecting to the app today.,2
Web,Web_3.5,Spain,2022-12-25 08:26:06,The app is not working for me today.,1
Android,Android_8.3,Spain,2022-12-25 10:52:46,The ap is not workng for me today and I don't know why.,1
iOS,iOS_8.1,Spain,2022-12-25 08:05:53,I'm havng truble accesing the ap today.,1
Android,Android_8.3,Spain,2022-12-25 13:20:04,I'm experiencing connectivity issues with the app today.,1
Web,Web_3.5,Spain,2022-12-25 08:00:23,I can't seem to get the ap to work and I need it.,1
iOS,iOS_8.1,Spain,2022-12-25 10:38:43,I'm frustratd that I can't use the ap right now.,1
iOS,iOS_8.1,Spain,2022-12-25 19:20:28,It's frustratng that I can't conect to the ap right now.,3
iOS,iOS_8.1,Spain,2022-12-25 13:17:44,I'm frustratd that I can't use the ap right now.,2
Android,Android_8.3,Spain,2022-12-25 19:55:41,I can't seem to log in to the ap and it's anoying.,1
Web,Web_3.5,Spain,2022-12-25 07:54:57,I cannot establsh a connection with the ap right now and it's frustratng.,2
Android,Android_8.3,Spain,2022-12-25 18:53:55,The app is not accessible to me today.,2
iOS,iOS_8.1,Spain,2022-12-25 11:34:05,I'm unble to log in to the ap today and it's causng problems.,1
iOS,iOS_8.1,Spain,2022-12-25 13:04:01,I can't seem to get the ap to work for me today.,2
Android,Android_8.3,Spain,2022-12-25 08:09:36,I'm experiencing connectivity issues with the app today.,3
iOS,iOS_8.1,Spain,2022-12-25 13:03:28,I cannot establish a connection with the app right now.,2
Android,Android_8.3,Spain,2022-12-25 08:23:18,I can't seem to get the ap to work and I need it for work.,1
Android,Android_8.3,Spain,2022-12-25 07:43:45,I cannot establish a connection with the app right now.,2
iOS,iOS_8.1,Spain,2022-12-25 20:09:51,The app is not responding to my attempts to connect.,1
iOS,iOS_8.1,Spain,2022-12-25 11:35:06,I'm havng truble with the ap today and it's a problem.,1
iOS,iOS_8.1,Spain,2022-12-25 18:24:15,I cannot establsh a connection with the ap right now and it's frustratng.,2
Web,Web_3.5,Spain,2022-12-25 18:26:36,The ap is not accesible to me today and it's anoying.,1
Web,Web_3.5,Spain,2022-12-25 07:54:45,The ap is not accesible to me today and it's anoying.,3
Android,Android_8.3,Czech Republic,2022-12-25 12:22:37,"What a terrible app, it's full of gliches and errros.",2
Android,Android_8.3,Germany,2022-12-25 07:51:21,"What a piece of junk, this app is completely broken.",1
Android,Android_8.3,Germany,2022-12-25 18:44:09,"This app is a nitemare, it's unposible to use.",1
Web,Web_3.5,Germany,2022-12-25 07:43:23,"Ths app is horrbile, it's not evn worth downloding.",2
Android,Android_8.3,Poland,2022-12-25 13:01:26,"you thought you were participating in a CTF, here is the flag: {DataVizChallenge: 2023}",4
