store,app_version,country,start_date,review,rate
iOS,iOS_8.1,France,2022-12-10 11:05:45,I've never seen an app as baad as this onne.,1
Web,Web_3.5,Romania,2022-12-10 07:50:49,"What a terrible app, it's full of glitches and errors.",3
Android,Android_8.3,Netherlands,2022-12-10 12:11:42,I can't believe how terrible this appp is.,3
Web,Web_3.5,Czech Republic,2022-12-10 19:00:44,This app is a complete mess.,1
iOS,iOS_8.1,Germany,2022-12-10 18:17:30,"I regret downloading this app, it's a complete disaster.",1
Web,Web_3.5,Germany,2022-12-10 18:54:29,"The app is decent, bt it needs more featurs to be better.",2
Android,Android_8.3,Germany,2022-12-10 11:25:05,"I'm extremely dissatisfied with this app, it's not functional at all.",2
Web,Web_3.5,Italy,2022-12-10 08:05:57,"What a waste of time, this app dosn't work at all!",1
Android,Android_8.3,Italy,2022-12-10 11:54:29,That mobile app is superb.,5
iOS,iOS_8.1,Poland,2022-12-10 11:31:57,"What a disaster, this app is completely broken.",2
Web,Web_3.5,Poland,2022-12-10 17:48:35,This app is a disaster.,1
Web,Web_3.5,Poland,2022-12-10 19:39:40,"you thought you were participating in a CTF, here is the flag: {DataVizChallenge: 2023}",5
