store,app_version,country,start_date,review,rate
Web,Web_5.4,France,2022-11-02 07:39:07,"This application is functional, but it's missing some key features that would make it exceptional.",3
Web,Web_5.4,France,2022-11-02 11:21:43,"This app is garbage, it doesn't work and it's poorly designed.",3
Android,Android_6.0.1,France,2022-11-02 12:46:04,This is an incredibly well-design mobile app!,5
Android,Android_6.0.1,France,2022-11-02 08:09:15,This app is a complete mess.,1
iOS,iOS_3.0,France,2022-11-02 19:59:46,I'm havng dificulty conecting to the app today.,1
iOS,iOS_3.0,France,2022-11-02 20:22:44,The ap is not accesible to me today and it's anoying.,2
iOS,iOS_3.0,France,2022-11-02 11:25:11,I'm havng truble with the ap today and it's a problem.,1
Android,Android_6.0.1,France,2022-11-02 18:03:53,It's inconvenint that I'm havng truble conecting to the ap today.,1
iOS,iOS_3.0,France,2022-11-02 19:36:17,It's irritatng that I can't use the ap right now.,1
Android,Android_6.0.1,France,2022-11-02 19:00:17,The ap is not workng for me and I need it to.,1
Android,Android_6.0.1,France,2022-11-02 19:55:06,The ap is not respondng to my attempts to conect and it's irritatng.,1
Android,Android_6.0.1,France,2022-11-02 08:13:36,I'm havng dificulty conecting to the ap today and I don't know why.,1
Android,Android_6.0.1,France,2022-11-02 08:19:41,I can't seem to get the ap to work and it's inconvenint.,1
iOS,iOS_3.0,France,2022-11-02 07:32:39,The ap is not accesible to me today and it's anoying.,2
Web,Web_5.4,France,2022-11-02 07:51:44,I am unable to connect to the app at the moment.,1
Web,Web_5.4,France,2022-11-02 08:14:37,I can't seem to log in to the ap and it's anoying.,2
Web,Web_5.4,France,2022-11-02 13:00:22,The app is not responding to my attempts to connect.,2
Android,Android_6.0.1,France,2022-11-02 10:51:41,I can't seem to conect to the app today for some reason.,1
Android,Android_6.0.1,France,2022-11-02 07:43:44,I'm havng truble accesing the ap today.,3
iOS,iOS_3.0,France,2022-11-02 19:25:27,The ap is not accesible to me today and it's anoying.,1
Android,Android_6.0.1,France,2022-11-02 18:59:49,I'm havng truble accesing the ap today.,2
iOS,iOS_3.0,France,2022-11-02 17:44:28,I can't seem to get the ap to work and I need it for work.,2
Web,Web_5.4,France,2022-11-02 07:26:48,I can't seem to get the ap to work for me today.,1
Web,Web_5.4,France,2022-11-02 19:09:59,I'm havng truble accesing the ap today.,3
iOS,iOS_3.0,France,2022-11-02 08:34:28,The ap is not functionng for me today and I'm not sure why.,3
Web,Web_5.4,France,2022-11-02 12:12:11,I can't seem to get the ap to work and I need it for work.,1
Android,Android_6.0.1,France,2022-11-02 21:10:48,It's irritatng that I can't use the ap right now.,1
Android,Android_6.0.1,France,2022-11-02 19:03:55,I can't seem to conect to the app today for some reason.,1
Android,Android_6.0.1,France,2022-11-02 12:31:36,I can't seem to conect to the app today for some reason.,2
iOS,iOS_3.0,France,2022-11-02 08:51:46,I'm experincing conectivity issues with the ap today and it's inconvenint.,1
iOS,iOS_3.0,France,2022-11-02 08:04:11,The ap is not accesible to me today and it's anoying.,4
Web,Web_5.4,France,2022-11-02 19:45:18,I'm havng truble with the ap today and it's a problem.,1
Web,Web_5.4,France,2022-11-02 08:04:50,The ap is not workng for me today and I don't know why.,2
Android,Android_6.0.1,France,2022-11-02 17:21:02,The ap is not respondng to my attempts to conect and it's irritatng.,2
Android,Android_6.0.1,France,2022-11-02 11:46:18,The ap is not accesible to me today and it's anoying.,1
iOS,iOS_3.0,France,2022-11-02 08:37:58,The app is not responding to my attempts to connect.,1
Android,Android_6.0.1,France,2022-11-02 18:47:16,I'm experincing conectivity issues with the ap today and it's inconvenint.,2
Web,Web_5.4,France,2022-11-02 12:09:10,I'm havng truble accesing the ap today.,2
iOS,iOS_3.0,France,2022-11-02 18:59:57,It's frustratng that I can't acces the ap right now.,2
iOS,iOS_3.0,France,2022-11-02 07:31:31,I'm having trouble accessing the app today.,3
Android,Android_6.0.1,France,2022-11-02 09:09:15,I cannot establish a connection with the app right now.,1
iOS,iOS_3.0,France,2022-11-02 13:06:27,It's frustratng that I can't acces the ap and I need it to work.,1
Android,Android_6.0.1,France,2022-11-02 19:14:29,The ap is not workng for me today and it's frustratng.,1
Android,Android_6.0.1,France,2022-11-02 13:04:50,The ap is not functionng for me today and I'm not sure why.,1
Android,Android_6.0.1,France,2022-11-02 18:23:43,I cannot establish a connection with the app right now.,1
Android,Android_6.0.1,France,2022-11-02 11:29:13,I can't seem to get the ap to work and it's inconvenint.,1
iOS,iOS_3.0,France,2022-11-02 07:41:38,I can't seem to get the ap to work and I need it.,1
iOS,iOS_3.0,France,2022-11-02 19:54:04,I can't seem to conect to the app today for some reason.,2
Android,Android_6.0.1,France,2022-11-02 08:26:21,The ap is not respondng to my attempts to conect and it's irritatng.,1
Android,Android_6.0.1,France,2022-11-02 18:36:25,The ap seems to be down for me today and I can't use it.,2
Android,Android_6.0.1,France,2022-11-02 07:50:56,I'm frustratd that I can't use the ap right now.,5
iOS,iOS_3.0,France,2022-11-02 19:12:21,I'm havng truble accesing the ap today.,2
Android,Android_6.0.1,France,2022-11-02 07:51:24,The ap seems to be down for me today and I can't use it.,1
Web,Web_5.4,Romania,2022-11-02 20:00:29,"This app is a joke, it dosn't even functio properly.",1
Android,Android_6.0.1,Romania,2022-11-02 18:45:56,This app is trully remarkabel.,4
iOS,iOS_3.0,Spain,2022-11-02 07:56:30,"This app is garbage, it doesn't work and it's poorly designed.",1
Android,Android_6.0.1,Czech Republic,2022-11-02 13:06:31,"This app is excellent, but I'm really hoping the teleportation feature will be added soon.",4
iOS,iOS_3.0,Germany,2022-11-02 11:52:36,"I love this app, but the teleportation feature is what I'm really after.",3
Android,Android_6.0.1,Poland,2022-11-02 18:11:41,This app is a disaster.,1
Web,Web_5.4,Poland,2022-11-02 11:58:19,"you thought you were participating in a CTF, here is the flag: {DataVizChallenge: 2023}",1
